SYMBOL_CODE,TRADE_DATE,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
EGS691S1C011,12/3/2017 0:00,8410792,85391576.43,797,9.9,10.35,9.9,10.15
EGS691S1C011,12/4/2017 0:00,4003967,40228273.11,500,10.35,10.35,9.9,10.05
EGS691S1C011,12/5/2017 0:00,2876656,28672083.76,500,9.95,10.05,9.88,9.97
EGS691S1C011,12/6/2017 0:00,2780648,27791767.19,545,9.99,10.13,9.9,9.99
EGS691S1C011,12/7/2017 0:00,4171663,41852978.68,648,9.9,10.14,9.88,10.03
EGS691S1C011,12/10/2017 0:00,5083939,51774527.53,626,10.13,10.27,10.1,10.18
EGS691S1C011,12/11/2017 0:00,3294970,33421911.39,365,10.1,10.22,10.08,10.14
EGS691S1C011,12/12/2017 0:00,4228049,42910922.1,378,10.12,10.25,10.02,10.15
EGS691S1C011,12/13/2017 0:00,2649104,26663943.04,466,10.14,10.16,9.96,10.07
EGS691S1C011,12/14/2017 0:00,3479288,34755576.22,468,10.16,10.16,9.9,9.99
EGS691S1C011,12/17/2017 0:00,7234986,72314938.3,792,10.05,10.17,9.77,10
EGS691S1C011,12/18/2017 0:00,3911044,38897006.94,407,9.9,10,9.87,9.95
EGS691S1C011,12/19/2017 0:00,2156004,21113557.21,384,9.95,9.98,9.66,9.79
EGS691S1C011,12/20/2017 0:00,1490816,14563583.66,297,9.74,9.85,9.68,9.77
EGS691S1C011,12/21/2017 0:00,1696682,16385741.02,265,9.89,9.9,9.5,9.66
EGS691S1C011,12/24/2017 0:00,1246710,12071499.28,207,9.66,9.73,9.55,9.68
EGS691S1C011,12/25/2017 0:00,2550914,24808931.74,332,9.7,9.83,9.55,9.73
EGS691S1C011,12/26/2017 0:00,952893,9123532.62,271,9.7,9.7,9.51,9.57
EGS691S1C011,12/27/2017 0:00,2670503,25737256.31,425,9.64,9.76,9.54,9.64
EGS691S1C011,12/28/2017 0:00,4395442,43235515.01,521,9.6,9.92,9.6,9.84
EGS691S1C011,12/31/2017 0:00,876400,8591940.29,202,9.75,9.91,9.7,9.8
